"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_frag_cutoff",0.11852848384888,0.108624309510103,0.000832997028582525,91,91,"sample",0.00405890475134861
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_nCells",0.0181541605754615,0.0168309182042693,9.27080455958052e-05,834,91,"pseudobulk (LMM)",0.000463540227979026
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_meanTSS",0.0264695022009223,0.0251574664896028,2.24509357610542e-06,834,91,"pseudobulk (LMM)",3.74182262684236e-06
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_meanLog10Frags",0.0639869791613567,0.0627255060874502,1.11730869109307e-13,834,91,"pseudobulk (LMM)",5.58654345546535e-13
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_meanFRIP",0.0525693913810188,0.0512925307225026,1.93315093519459e-11,834,91,"pseudobulk (LMM)",4.83287733798648e-11
"IterativeLSI","Dim8",8,0.010694716266498,"CellType",0.856678484619826,0.854524746000725,1.43428556559205e-293,834,91,"pseudobulk (LMM)",2.39047594265341e-293
"IterativeLSI","Dim8",8,0.010694716266498,"Cohort",0.172384971278821,0.143846522012574,0.00087294979731804,91,91,"sample",0.00109118724664755
"IterativeLSI","Dim8",8,0.010694716266498,"Control_status",0.0041491302872733,-0.00704020532747629,0.544113690376603,91,91,"sample",0.680142112970754
"IterativeLSI","Dim8",8,0.010694716266498,"Exposure_group",0.301560838004464,0.183642537927296,0.00551781392704432,91,91,"sample",0.0068972674088054
"IterativeLSI","Dim8",8,0.010694716266498,"Age",0.0741227734591966,0.0586914863501832,0.0322959053188071,62,62,"sample",0.0807397632970177
"IterativeLSI","Dim8",8,0.010694716266498,"Sex_observed",0.0131898800408238,-0.00325695529182934,0.374083568431806,62,62,"sample",0.870654208936376
"IterativeLSI","Dim8",8,0.010694716266498,"Sex_predicted",0.0179396442023938,0.00690525818219612,0.205604252423658,91,91,"sample",0.514010631059144
"IterativeLSI","Dim8",8,0.010694716266498,"Sampling_day",0.00276002709607053,-0.0180158056727613,0.717098118556003,50,50,"sample",0.987602938191756
"IterativeLSI","Dim8",8,0.010694716266498,"Batch_C19",0.0468848362112538,0.00544504648130839,0.298518191431734,25,25,"sample",0.373147739289668
"IterativeLSI","Dim8",8,0.010694716266498,"Supplier",0.159814507358342,0.140719382525577,0.000470443907115465,91,91,"sample",0.000672062724450665
"IterativeLSI","Dim8",8,0.010694716266498,"QC_tss_cutoff",0.133332423669572,0.123594585733275,0.000372487454441094,91,91,"sample",0.000465609318051368
"IterativeLSI","Dim8",8,0.010694716266498,"QC_frag_cutoff",0.111500617911323,0.101517478786731,0.00121767142540458,91,91,"sample",0.00405890475134861
"IterativeLSI","Dim8",8,0.010694716266498,"QC_nCells",-0.00585162970136899,-0.00720722488964576,0.337502687688907,834,91,"pseudobulk (LMM)",0.421878359611134
"IterativeLSI","Dim8",8,0.010694716266498,"QC_meanTSS",-0.000619919079256817,-0.00196846344459289,9.14941243699744e-10,834,91,"pseudobulk (LMM)",1.93159735874853e-09
"IterativeLSI","Dim8",8,0.010694716266498,"QC_meanLog10Frags",-0.00195792885806948,-0.00330827647108589,1.62044041908582e-09,834,91,"pseudobulk (LMM)",4.05110104771454e-09
"IterativeLSI","Dim8",8,0.010694716266498,"QC_meanFRIP",0.0125237371856458,0.0111929066427693,3.25959807491849e-12,834,91,"pseudobulk (LMM)",1.0865326916395e-11
"IterativeLSI","Dim9",9,0.00964632958295925,"CellType",0.635462723812168,0.629984704634482,1.60560425428592e-150,834,91,"pseudobulk (LMM)",1.78400472698436e-150
"IterativeLSI","Dim9",9,0.00964632958295925,"Cohort",0.560183749696989,0.545017672100333,1.72053361748963e-15,91,91,"sample",5.73511205829878e-15
"IterativeLSI","Dim9",9,0.00964632958295925,"Control_status",0.00129765028500935,-0.0099237244308894,0.734612473163329,91,91,"sample",0.734612473163329
"IterativeLSI","Dim9",9,0.00964632958295925,"Exposure_group",0.667688346690447,0.611583781845977,1.25342979072043e-13,91,91,"sample",4.17809930240143e-13
"IterativeLSI","Dim9",9,0.00964632958295925,"Age",0.012372972576076,-0.00408747788098918,0.389399341177886,62,62,"sample",0.459677267520766
"IterativeLSI","Dim9",9,0.00964632958295925,"Sex_observed",0.000959526873588815,-0.015691147678518,0.811105076693743,62,62,"sample",0.870654208936376
"IterativeLSI","Dim9",9,0.00964632958295925,"Sex_predicted",0.00388341777805467,-0.00730890337050649,0.557324631068568,91,91,"sample",0.796178044383669
"IterativeLSI","Dim9",9,0.00964632958295925,"Sampling_day",0.0101884541192035,-0.0104326197533131,0.485508387038063,50,50,"sample",0.987602938191756
"IterativeLSI","Dim9",9,0.00964632958295925,"Batch_C19",0.125861519140524,0.0878554982335901,0.0818327843122061,25,25,"sample",0.190509273415566
"IterativeLSI","Dim9",9,0.00964632958295925,"Supplier",0.545226525357647,0.534890764570321,8.76971617662011e-16,91,91,"sample",2.92323872554004e-15
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_tss_cutoff",0.403802863670002,0.397104019441575,1.32130553100961e-11,91,91,"sample",4.40435177003204e-11
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_frag_cutoff",0.0512941418469401,0.0406345254631979,0.0308680105911791,91,91,"sample",0.0617360211823582
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_nCells",0.00474276507315516,0.00340144804495179,0.130461353205521,834,91,"pseudobulk (LMM)",0.186373361722172
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_meanTSS",0.139449418023573,0.13828964634975,4.48132040139169e-29,834,91,"pseudobulk (LMM)",1.49377346713056e-28
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_meanLog10Frags",0.00311546336333485,0.00177195320614265,0.402722798736078,834,91,"pseudobulk (LMM)",0.402722798736078
"IterativeLSI","Dim9",9,0.00964632958295925,"QC_meanFRIP",0.00148931042450315,0.000143608686530738,0.264891599101974,834,91,"pseudobulk (LMM)",0.264891599101974
"IterativeLSI","Dim10",10,0.00729322070365631,"CellType",0.327532416076306,0.317427028886196,1.83502440125175e-66,834,91,"pseudobulk (LMM)",1.83502440125175e-66
"IterativeLSI","Dim10",10,0.00729322070365631,"Cohort",0.417804569505912,0.397728865006116,2.9719604046145e-10,91,91,"sample",4.95326734102416e-10
"IterativeLSI","Dim10",10,0.00729322070365631,"Control_status",0.0241717787533032,0.0132074167168235,0.141134998105951,91,91,"sample",0.352837495264876
"IterativeLSI","Dim10",10,0.00729322070365631,"Exposure_group",0.53723107557296,0.4591012571632,1.37748659102906e-08,91,91,"sample",2.33818936348962e-08
"IterativeLSI","Dim10",10,0.00729322070365631,"Age",0.0270375319322298,0.0108214907977671,0.201568902513323,62,62,"sample",0.335948170855538
"IterativeLSI","Dim10",10,0.00729322070365631,"Sex_observed",0.00588048922753431,-0.0106881692853402,0.553583898041202,62,62,"sample",0.870654208936376
"IterativeLSI","Dim10",10,0.00729322070365631,"Sex_predicted",0.0323200907608405,0.0214472827918611,0.0881595282183049,91,91,"sample",0.440797641091524
