"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"Harmony","Dim1","CellType",0.93780245150332,0,834,91,"per pseudobulk, sample-adjusted",0.833355071045764,0,271299,TRUE,0
"Harmony","Dim1","Cohort",0.161255393484892,0.00757729532848977,91,91,"per sample",0.00601713500692714,0,271299,FALSE,0
"Harmony","Dim1","Control_status",0.00158668072923638,0.809066584127628,91,91,"per sample",7.29749080557806e-05,8.60474988961316e-06,271299,FALSE,9.56083321068129e-06
"Harmony","Dim1","Exposure_group",0.246595376607283,0.0753354238516079,91,91,"per sample",0.0099793743597931,0,271299,FALSE,0
"Harmony","Dim1","Age",0.0104680108573439,0.570967873546704,62,62,"per sample",0.00303993232594777,2.85155353910391e-105,155962,FALSE,1.42577676955196e-104
"Harmony","Dim1","Sex_observed",0.13768092779363,0.0149385752641424,62,62,"per sample",2.63732194839368e-06,0.52130233330417,155962,FALSE,0.52130233330417
"Harmony","Dim1","Sex_predicted",0.000313270974213343,0.86774689229897,91,91,"per sample",0.000600892439953602,2.41626300634553e-37,271299,FALSE,3.02032875793191e-37
"Harmony","Dim1","Days_from_onset",0.00160834218084595,0.901390554643716,50,50,"per sample",2.14296584043824e-05,0.0945850907903868,130407,FALSE,0.105094545322652
"Harmony","Dim1","QC_nCells",0.00462183718204613,0.098964010450446,834,91,"per pseudobulk, sample-adjusted",0.00101498578641468,7.17515617313864e-62,271299,FALSE,8.96894521642329e-62
"Harmony","Dim1","QC_meanTSS",0.455264529185583,2.16416750702921e-75,834,91,"per pseudobulk, sample-adjusted",0.149515622563307,0,271299,TRUE,0
"Harmony","Dim1","QC_meanLog10Frags",0.0334201725038863,2.06145664514452e-07,834,91,"per pseudobulk, sample-adjusted",0.00123178832669796,1.06552113155997e-74,271299,TRUE,1.18391236839997e-74
"Harmony","Dim1","QC_meanFRIP",0.0186607424071614,0.000186402165711247,834,91,"per pseudobulk, sample-adjusted",6.85255567074445e-05,1.61951139656042e-05,271299,TRUE,1.61951139656042e-05
"Harmony","Dim2","CellType",0.996289824954484,0,834,91,"per pseudobulk, sample-adjusted",0.987495377310825,0,271299,TRUE,0
"Harmony","Dim2","Cohort",0.046645138601163,0.346746452302946,91,91,"per sample",0.00696992370320654,0,271299,FALSE,0
"Harmony","Dim2","Control_status",0.00677029218143755,0.730188288874924,91,91,"per sample",0.000964737667596519,6.75920968833602e-59,271299,FALSE,1.3518419376672e-58
"Harmony","Dim2","Exposure_group",0.200245259753394,0.178943875649255,91,91,"per sample",0.0145805679958932,0,271299,FALSE,0
"Harmony","Dim2","Age",0.00926378558602039,0.570967873546704,62,62,"per sample",0.00282544251999725,5.70479082946774e-98,155962,FALSE,1.90159694315591e-97
"Harmony","Dim2","Sex_observed",3.82108937865283e-06,0.987969497523275,62,62,"per sample",0.000412978312056089,1.00471557354721e-15,155962,FALSE,1.67452595591202e-15
"Harmony","Dim2","Sex_predicted",0.00388116577967721,0.853233109022887,91,91,"per sample",1.42950159700018e-06,0.533448031270087,271299,FALSE,0.533448031270087
"Harmony","Dim2","Days_from_onset",0.00420324783856562,0.901390554643716,50,50,"per sample",6.83143238917688e-07,0.765343648995242,130407,FALSE,0.765343648995242
"Harmony","Dim2","QC_nCells",0.00338119497872959,0.132886074646028,834,91,"per pseudobulk, sample-adjusted",0.00465806452376667,1.97963546520808e-277,271299,FALSE,3.95927093041616e-277
"Harmony","Dim2","QC_meanTSS",0.51647523493257,6.56660758996085e-130,834,91,"per pseudobulk, sample-adjusted",0.166323312329155,0,271299,TRUE,0
"Harmony","Dim2","QC_meanLog10Frags",0.0352866949846422,1.1223700777294e-07,834,91,"per pseudobulk, sample-adjusted",0.00930192943283146,0,271299,TRUE,0
"Harmony","Dim2","QC_meanFRIP",0.00429620981016591,0.0647246125885838,834,91,"per pseudobulk, sample-adjusted",0.00086177155015152,8.42621385764898e-53,271299,TRUE,9.3624598418322e-53
"Harmony","Dim3","CellType",0.991902702849771,0,834,91,"per pseudobulk, sample-adjusted",0.97026484203896,0,271299,TRUE,0
"Harmony","Dim3","Cohort",0.0507563086707681,0.34534744488736,91,91,"per sample",0.00577369309260026,0,271299,FALSE,0
"Harmony","Dim3","Control_status",0.0367039880766287,0.172198296777347,91,91,"per sample",0.000556295362970863,1.06777516653461e-34,271299,FALSE,1.52539309504944e-34
"Harmony","Dim3","Exposure_group",0.161952919600896,0.336469896624729,91,91,"per sample",0.00803402928464487,0,271299,FALSE,0
"Harmony","Dim3","Age",0.0111693108375193,0.570967873546704,62,62,"per sample",0.000123239771876182,1.16389127408412e-05,155962,FALSE,1.29321252676014e-05
"Harmony","Dim3","Sex_observed",0.0450531701279772,0.244185882522289,62,62,"per sample",4.41205782756772e-05,0.00871082730395241,155962,FALSE,0.0108885341299405
