"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"TBX18_869",0.09337,0.003685,3,0.004942,2.306,FALSE,"NO"
"TBX22_870",0.09337,0.003685,3,0.004942,2.306,FALSE,"NO"
"ELF5_334",0.09297,0.04995,2,0.06263,1.203,FALSE,"NO"
"FOXM1_352",-0.09233,0.000768,4,0.001105,2.957,TRUE,"NO"
"PAX5_709",-0.09194,0.002864,3,0.003895,2.41,FALSE,"NO"
"GATA4_386",0.09148,0.003768,3,0.005038,2.298,FALSE,"NO"
"PDX1_482",-0.09147,0.002439,4,0.003343,2.476,TRUE,"NO"
"KLF15_223",0.09119,0.0002089,3,0.0003146,3.502,FALSE,"NO"
"NR4A2_686",0.09071,0.001333,4,0.001887,2.724,TRUE,"NO"
"PRRX1_440",-0.09015,0.000619,4,0.000895,3.048,TRUE,"NO"
"ARID5B_7",0.08944,0.001318,4,0.001869,2.728,TRUE,"NO"
"ISL1_398",0.08927,0.003016,4,0.004088,2.388,TRUE,"NO"
"GLI3_182",0.08888,0.006637,4,0.008752,2.058,TRUE,"NO"
"ENSG00000229544_584",0.08845,0.002366,4,0.003248,2.488,TRUE,"NO"
"ETV2_324",0.08806,0.05653,3,0.07058,1.151,FALSE,"NO"
"TCFL5_25",0.08795,0.01616,2,0.02109,1.676,FALSE,"NO"
"BACH2_113",0.08631,0.0441,2,0.05554,1.255,FALSE,"NO"
"POU5F1B_622",-0.0854,0.001438,3,0.002026,2.693,FALSE,"NO"
"MYB_648",0.08527,0.003566,3,0.004812,2.318,FALSE,"NO"
"ZBTB47_188",-0.08499,0.002536,4,0.00346,2.461,TRUE,"NO"
"ZNF652_278",-0.08499,0.002536,4,0.00346,2.461,TRUE,"NO"
"E2F6_317",0.08492,0.006043,3,0.00798,2.098,FALSE,"NO"
"SOX15_757",0.08441,0.003767,4,0.005038,2.298,TRUE,"NO"
"PAX6_604",0.08427,0.001639,4,0.002296,2.639,TRUE,"NO"
"AIRE_736",-0.08425,0.002754,4,0.003751,2.426,TRUE,"NO"
"RAX_472",0.08409,0.0361,3,0.0456,1.341,FALSE,"NO"
"LHX6_423",0.08398,0.003684,4,0.004942,2.306,TRUE,"NO"
"HOXC9_547",-0.08227,0.0009308,3,0.001328,2.877,FALSE,"NO"
"NKX23_443",-0.08208,0.004964,4,0.006616,2.179,TRUE,"NO"
"PRDM16_211",-0.08141,0.008016,4,0.01055,1.977,TRUE,"NO"
"HOXC5_562",0.08036,0.02925,3,0.03716,1.43,FALSE,"NO"
"HHEX_491",0.07921,0.0119,4,0.01558,1.807,TRUE,"NO"
"EVX1_419",0.07889,0.06615,4,0.082,1.086,TRUE,"NO"
"HES2_19",-0.07872,0.01725,4,0.02237,1.65,TRUE,"NO"
"EN1_500",-0.07822,0.02039,3,0.02633,1.58,FALSE,"NO"
"MYPOP_652",-0.07746,0.002237,4,0.003076,2.512,TRUE,"NO"
"GSX2_546",-0.076,0.003478,4,0.004701,2.328,TRUE,"NO"
"HMX3_557",-0.07563,0.009661,3,0.01268,1.897,FALSE,"NO"
"FEZF1_204",-0.07545,0.002153,3,0.002969,2.527,FALSE,"NO"
"FEZF2_214",-0.07545,0.002153,3,0.002969,2.527,FALSE,"NO"
"HESX1_503",0.07517,0.02039,3,0.02633,1.58,FALSE,"NO"
"CDX4_467",0.07478,0.02063,4,0.0266,1.575,TRUE,"NO"
"HOXA11_395",0.07467,0.01586,3,0.02072,1.684,FALSE,"NO"
"NFIB_741",-0.07439,0.05712,2,0.07121,1.147,FALSE,"NO"
"SREBF1_22",-0.07389,0.02553,2,0.03257,1.487,FALSE,"NO"
"MAZ_178",0.07331,0.0004473,4,0.0006533,3.185,TRUE,"NO"
"PAX8_707",0.07257,0.009619,3,0.01265,1.898,FALSE,"NO"
"SMARCC2_650",0.07096,0.04995,2,0.06263,1.203,FALSE,"NO"
"GATA6_387",-0.07094,0.03342,4,0.04227,1.374,TRUE,"NO"
"LBX2_543",0.07044,0.01624,4,0.02116,1.675,TRUE,"NO"
"HOXD10_463",-0.06869,0.005306,4,0.00704,2.152,TRUE,"NO"
"THAP1_798",0.06848,0.02231,2,0.02864,1.543,FALSE,"NO"
"EMX1_474",-0.06837,0.01652,4,0.02146,1.668,TRUE,"NO"
"SPDEF_330",0.06796,0.07549,2,0.09265,1.033,FALSE,"NO"
"ZNF333_217",0.06769,0.01925,3,0.02493,1.603,FALSE,"NO"
"NKX32_432",0.06751,0.02246,3,0.02875,1.541,FALSE,"NO"
"YY2_284",0.06749,0.1764,2,0.2075,0.6831,FALSE,"NO"
"SMAD3_743",0.06646,0.03205,4,0.0406,1.391,TRUE,"NO"
"OSR1_212",0.06596,0.02236,2,0.02865,1.543,FALSE,"NO"
"THRB_684",-0.06522,0.02581,3,0.03289,1.483,FALSE,"NO"
"ISL2_496",-0.06409,0.02113,4,0.02716,1.566,TRUE,"NO"
"PPARG_676",-0.06345,0.1499,2,0.1781,0.7492,FALSE,"NO"
"RFX1_726",-0.0629,0.02693,2,0.03426,1.465,FALSE,"NO"
"PGR_660",0.06264,0.05894,3,0.07338,1.134,FALSE,"NO"
"ARID2_11",-0.06251,0.01652,3,0.02146,1.668,FALSE,"NO"
"PURA_813",-0.062,0.005134,2,0.006832,2.165,FALSE,"NO"
"KDM2B_299",-0.06174,0.01086,3,0.01424,1.847,FALSE,"NO"
"HOXC8_399",-0.05998,0.06839,2,0.08453,1.073,FALSE,"NO"
"EHF_333",-0.05846,0.003052,2,0.004132,2.384,FALSE,"NO"
"TFAP2A_5",-0.05823,0.00555,3,0.007351,2.134,FALSE,"NO"
"DMRTA2_306",0.05776,0.05178,4,0.06483,1.188,TRUE,"NO"
"SMAD2_745",0.05714,0.0703,3,0.08665,1.062,FALSE,"NO"
"HOXB2_532",-0.05492,0.0944,3,0.1149,0.9397,FALSE,"NO"
"HOXB4_549",0.05487,0.0762,2,0.0934,1.03,FALSE,"NO"
